届 #00005c4a
𢟸 #000227f8
𨶱 #00028db1
𢅀 #00022140
𛂗 #0001b097
\U00012d51 #00012d51
熱 #000071b1
𩂎 #0002908e
湌 #00006e4c
𣜝 #0002371d
碪 #000078aa
\U0003c10e #0003c10e
𘒯 #000184af
𗿆 #00017fc6
엎 #0000c5ce
䱔 #00004c54
\U0001dfd6 #0001dfd6
\U000364ca #000364ca
𢂴 #000220b4
𗂮 #000170ae
歁 #00006b41
\U00019a8d #00019a8d
\U00039e0e #00039e0e
\uecff #0000ecff
\U0003c898 #0003c898
嗜 #000055dc
\U00033337 #00033337
\U0002ed6c #0002ed6c
\U0003ae97 #0003ae97
蕏 #0000854f
䞽 #000047bd
뢣 #0000b8a3
𰋘 #000302d8
么 #00004e48
쌬 #0000c32c
𓅞 #0001315e
禠 #000079a0
\U0003ee7b #0003ee7b
\U0003228f #0003228f
\U000139d0 #000139d0
┩ #00002529
\ue7f9 #0000e7f9
\U0001bdc3 #0001bdc3
明 #0000660e
꩙ #0000aa59
\U00035245 #00035245
𩬮 #00029b2e
𤋤 #000242e4
\uef4e #0000ef4e
\U00015660 #00015660
𥒐 #00025490
偶 #00005076
\U0001e7a0 #0001e7a0
𐋩 #000102e9
\uf60c #0000f60c
ꓘ #0000a4d8
\U0003df50 #0003df50
\U0001ad3b #0001ad3b
\U000107b5 #000107b5
\U0002fb5e #0002fb5e
\U00013e86 #00013e86
倁 #00005001
𠉾 #0002027e
\U0003d8d8 #0003d8d8
痑 #000075d1
𢋡 #000222e1
𨥹 #00028979
臵 #000081f5
𰌷 #00030337
렶 #0000b836
言 #00008a00
𥉳 #00025273
嚁 #00005681
䘷 #00004637
\U00016e9d #00016e9d
\U00019c02 #00019c02
𧺈 #00027e88
\U0003d83e #0003d83e
\U0003852d #0003852d
依 #00004f9d
\U0001ff4f #0001ff4f
阵 #00009635
\U00015275 #00015275
\ue3fa #0000e3fa
确 #0000786e
\U0003d485 #0003d485
𑁌 #0001104c
굃 #0000ad43
𢖟 #0002259f
𬶥 #0002cda5
