ڕ #00000695
⍀ #00002340
❬ #0000276c
魞 #00009b5e
礀 #00007900
ꤢ #0000a922
虘 #00008658
؉ #00000609
ت #0000062a
آ #00000622
䜢 #00004722
舢 #00008222
圢 #00005722
\uf8cc #0000f8cc
ؤ #00000624
턢 #0000d122
싇 #0000c2c7
彀 #00005f40
嬚 #00005b1a
ڴ #000006b4
灞 #0000705e
ܢ #00000722
ᘢ #00001622
ꯎ #0000abce
\uf56a #0000f56a
ꍄ #0000a344
촢 #0000cd22
츢 #0000ce22
蜢 #00008722
挳 #00006333
ۍ #000006cd
褥 #00008925
緻 #00007dfb
آ #00000622
� #0000fffd
ں #000006ba
꺿 #0000aebf
䰺 #00004c3a
آ #00000622
뻵 #0000bef5
� #0000fffd
㚿 #000036bf
닕 #0000b2d5
⌊ #0000230a
۱ #000006f1
ꥢ #0000a962
⏮ #000023ee
ۼ #000006fc
ٛ #0000065b
ۭ #000006ed
௭ #00000bed
ٶ #00000676
䥻 #0000497b
ڊ #0000068a
𝂛 #0001d09b
\uf122 #0000f122
ۆ #000006c6
粀 #00007c80
ش #00000634
ۧ #000006e7
آ #00000622
ڈ #00000688
ڒ #00000692
矮 #000077ee
ک #000006a9
ঐ #00000990
ق #00000642
끪 #0000b06a
枲 #000067b2
꪿ #0000aabf
آ #00000622
斐 #00006590
\uf197 #0000f197
ۧ #000006e7
鐨 #00009428
ڿ #000006bf
آ #00000622
ﯨ #0000fbe8
稢 #00007a22
آ #00000622
آ #00000622
P #00000050
벨 #0000bca8
㬑 #00003b11
\ua9ce #0000a9ce
帢 #00005e22
ি #000009bf
鈿 #0000923f
뀯 #0000b02f
㜆 #00003706
آ #00000622
嬘 #00005b18
ۓ #000006d3
⯔ #00002bd4
\U00019d22 #00019d22
آ #00000622
آ #00000622
ؘ #00000618
ۊ #000006ca
㬚 #00003b1a
۠ #000006e0
㈨ #00003228
آ #00000622
𐘢 #00010622
뀢 #0000b022
뀢 #0000b022
➵ #000027b5
ُ #0000064f
뻱 #0000bef1
벛 #0000bc9b
ᛒ #000016d2
輢 #00008f22
ٚ #0000065a
ٛ #0000065b
ᰢ #00001c22
خ #0000062e
ꑕ #0000a455
آ #00000622
㰢 #00003c22
څ #00000685
차 #0000cc28
ၪ #0000106a
ꔥ #0000a525
꘢ #0000a622
뿭 #0000bfed
覦 #000089a6
آ #00000622
آ #00000622
韌 #000097cc
آ #00000622
搢 #00006422
\uf1ad #0000f1ad
Ԣ #00000522
| #0000007c
댢 #0000b322
\ued83 #0000ed83
آ #00000622
؉ #00000609
۲ #000006f2
코 #0000cf54
蓑 #000084d1
꾧 #0000afa7
ٲ #00000672
遖 #00009056
觩 #000089e9
칃 #0000ce43
宫 #00005bab
ہ #000006c1
ㄫ #0000312b
킫 #0000d0ab
آ #00000622
垳 #000057b3
츄 #0000ce04
稢 #00007a22
ؐ #00000610
آ #00000622
آ #00000622
ڿ #000006bf
آ #00000622
일 #0000c77c
⼢ #00002f22
䥴 #00004974
آ #00000622
遻 #0000907b
ⁱ #00002071
巎 #00005dce
آ #00000622
ᓨ #000014e8
آ #00000622
숨 #0000c228
� #0000fffd
煖 #00007156
¶ #000000b6
ㄴ #00003134
ږ #00000696
㒔 #00003494
٤ #00000664
ක #00000d9a
\ue7a7 #0000e7a7
ۮ #000006ee
٫ #0000066b
탭 #0000d0ed
آ #00000622
آ #00000622
恈 #00006048
䰻 #00004c3b
늟 #0000b29f
눳 #0000b233
傝 #0000509d
⨯ #00002a2f
آ #00000622
آ #00000622
٣ #00000663
ڷ #000006b7
ێ #000006ce
傔 #00005094
圢 #00005722
\u061d #0000061d
\ueb15 #0000eb15
آ #00000622
뿡 #0000bfe1
⤢ #00002922
뱓 #0000bc53
\u0600 #00000600
涬 #00006dac
鰢 #00009c22
آ #00000622
ڼ #000006bc
ڍ #0000068d
쿩 #0000cfe9
آ #00000622
𠘢 #00020622
ܢ #00000722
٪ #0000066a
꒲ #0000a4b2
퀢 #0000d022
ۮ #000006ee
آ #00000622
آ #00000622
ف #00000641
آ #00000622
쁇 #0000c047
ٖ #00000656
ؕ #00000615
宲 #00005bb2
\uea22 #0000ea22
瘢 #00007622
آ #00000622
뤆 #0000b906
掯 #000063af
댢 #0000b322
ۭ #000006ed
پ #0000067e
琢 #00007422
ย #00000e22
ܐ #00000710
\u0604 #00000604
ڋ #0000068b
皟 #0000769f
濭 #00006fed
鈫 #0000922b
ꊲ #0000a2b2
霻 #0000973b
ꓔ #0000a4d4
آ #00000622
آ #00000622
匫 #0000532b
آ #00000622
窝 #00007a9d
뽪 #0000bf6a
䖬 #000045ac
آ #00000622
찢 #0000cc22
ڃ #00000683
垲 #000057b2
۰ #000006f0
^ #0000005e
¢ #000000a2
C #00000043
\x9d #0000009d
Ç #000000c7
³ #000000b3
( #00000028
( #00000028
( #00000028
( #00000028
( #00000028
\x83 #00000083
× #000000d7
( #00000028
ª #000000aa
( #00000028
f #00000066
\xa0 #000000a0
¿ #000000bf
q #00000071
Î #000000ce
\x91 #00000091
q #00000071
> #0000003e
° #000000b0
( #00000028
( #00000028
\x8a #0000008a
( #00000028
" #00000022
( #00000028
à #000000e0
Í #000000cd
s #00000073
ª #000000aa
\\ #0000005c
÷ #000000f7
h #00000068
¾ #000000be
l #0000006c
¿ #000000bf
é #000000e9
í #000000ed
Ú #000000da
O #0000004f
³ #000000b3
( #00000028
( #00000028
õ #000000f5
\x11 #00000011
\x8b #0000008b
( #00000028
í #000000ed
¥ #000000a5
\xa0 #000000a0
( #00000028
( #00000028
x #00000078
\xa0 #000000a0
( #00000028
V #00000056
