捬 #0000636c
𠀝 #0002001d
𮬔 #0002eb14
纄 #00007e84
䊗 #00004297
𤽯 #00024f6f
𨥚 #0002895a
㞸 #000037b8
𪝕 #0002a755
\U00013a67 #00013a67
蚻 #000086bb
\u1257 #00001257
\U00035fb8 #00035fb8
𨬜 #00028b1c
\U0001b131 #0001b131
Ɡ #0000a7ac
𦉽 #0002627d
\U00035cb0 #00035cb0
\U00012d32 #00012d32
\U00039f57 #00039f57
\U000375e0 #000375e0
㬎 #00003b0e
\U0001a558 #0001a558
\U0003720c #0003720c
栏 #0000680f
\U0001931e #0001931e
\U0001b67a #0001b67a
\U0003218d #0003218d
𩓃 #000294c3
𫋓 #0002b2d3
𧻐 #00027ed0
\uf844 #0000f844
𡛤 #000216e4
𭞊 #0002d78a
\U000158e4 #000158e4
賘 #00008cd8
\ufae1 #0000fae1
\U00033987 #00033987
𭰍 #0002dc0d
平 #00005e73
吸 #00005438
\ued77 #0000ed77
𡹸 #00021e78
蘊 #0000860a
𘰎 #00018c0e
𩱮 #00029c6e
𠎆 #00020386
\uf022 #0000f022
\U000365e4 #000365e4
\U0003e352 #0003e352
\U000197e8 #000197e8
𠠭 #0002082d
𡜮 #0002172e
뢝 #0000b89d
𧑋 #0002744b
\U00015b8c #00015b8c
\uf4a3 #0000f4a3
\U000140a3 #000140a3
\U0003934e #0003934e
\U00033031 #00033031
\U0001aa5d #0001aa5d
𖢶 #000168b6
🜌 #0001f70c
𰫲 #00030af2
\U0003dd1b #0003dd1b
𩿕 #00029fd5
\U00031839 #00031839
\U00014e6a #00014e6a
\U0001b518 #0001b518
𡢝 #0002189d
𭧶 #0002d9f6
歌 #00006b4c
뫫 #0000baeb
㼝 #00003f1d
ॎ #0000094e
𣄕 #00023115
덨 #0000b368
䎳 #000043b3
\U0003a9ce #0003a9ce
\U00037b54 #00037b54
\U0001ed89 #0001ed89
\U0003137c #0003137c
ⱽ #00002c7d
\uffbf #0000ffbf
𧚱 #000276b1
\U0003927c #0003927c
歇 #00006b47
\U0003e0fa #0003e0fa
𭖒 #0002d592
牸 #00007278
