届 #00005c4a
𢟸 #000227f8
𢅀 #00022140
𑘐 #00011610
骘 #00009a98
\U0003b40e #0003b40e
𣌽 #0002333d
\U000341a8 #000341a8
𥟍 #000257cd
𣜝 #0002371d
냘 #0000b0d8
\U0001de49 #0001de49
𦶢 #00026da2
\U00032da0 #00032da0
\U00013a9d #00013a9d
\U00013f42 #00013f42
\U000326b2 #000326b2
䱔 #00004c54
\U0003c337 #0003c337
\U00015999 #00015999
𢂴 #000220b4
\U0003459b #0003459b
푮 #0000d46e
\U00012e40 #00012e40
\U0001bf6c #0001bf6c
𮞱 #0002e7b1
\U0003e678 #0003e678
蕏 #0000854f
𔖕 #00014595
𤻫 #00024eeb
\u242b #0000242b
𐴀 #00010d00
\u07fc #000007fc
么 #00004e48
\ue5ed #0000e5ed
쌬 #0000c32c
\U000134f1 #000134f1
\U000139d0 #000139d0
明 #0000660e
\U00031fd6 #00031fd6
\U00039745 #00039745
\uf6fe #0000f6fe
偶 #00005076
𬕠 #0002c560
𩀽 #0002903d
雫 #000096eb
\U0003abea #0003abea
⋎ #000022ce
\U00035e1e #00035e1e
𣁎 #0002304e
倁 #00005001
흀 #0000d740
𪟌 #0002a7cc
𦠲 #00026832
𘯂 #00018bc2
蹫 #00008e6b
言 #00008a00
ꁫ #0000a06b
𘬧 #00018b27
\U0003d509 #0003d509
\U0003d83e #0003d83e
𬶳 #0002cdb3
依 #00004f9d
\U0001b373 #0001b373
阵 #00009635
擨 #000064e8
\U0001dfaf #0001dfaf
\U0003a118 #0003a118
\U0001cc5a #0001cc5a
确 #0000786e
𒊪 #000122aa
엄 #0000c5c4
\U00031728 #00031728
𪧝 #0002a9dd
𰑴 #00030474
𤽿 #00024f7f
\U0001a516 #0001a516
𫣂 #0002b8c2
\U0003251e #0003251e
\U00014b2f #00014b2f
𪍳 #0002a373
薶 #000085b6
ࡎ #0000084e
𣏘 #000233d8
땈 #0000b548
❡ #00002761
\U0001c5d3 #0001c5d3
𛃚 #0001b0da
