\x00¢\x00\x00 #00000000 #000000a2 #00000000 #00000000
㎷뼀\x00\x00 #000033b7 #0000bf00 #00000000 #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00\ue263\x00 #00000000 #00000000 #0000e263 #00000000
\x00\x00\x8f\x00 #00000000 #00000000 #0000008f #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
õ\x00R\x00 #000000f5 #00000000 #00000052 #00000000
\x00\x00숀\x00 #00000000 #00000000 #0000c200 #00000000
\x00\x00Ѐ\x00 #00000000 #00000000 #00000400 #00000000
\x00\x00\ue269\x00 #00000000 #00000000 #0000e269 #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00\x00\uec00 #00000000 #00000000 #00000000 #0000ec00
\x00]i\x00 #00000000 #0000005d #00000069 #00000000
æ\x00\x00\x00 #000000e6 #00000000 #00000000 #00000000
\x00\x00�¯ #00000000 #00000000 #0000fffd #000000af
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00\x00ì #00000000 #00000000 #00000000 #000000ec
\x00\x00\x8b\uf700 #00000000 #00000000 #0000008b #0000f700
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00(\x00\x00 #00000000 #00000028 #00000000 #00000000
\x00\x00ꋒ\x00 #00000000 #00000000 #0000a2d2 #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00¦¢ #00000000 #00000000 #000000a6 #000000a2
\x00\x00ꈀ¢ #00000000 #00000000 #0000a200 #000000a2
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00b\x00 #00000000 #00000000 #00000062 #00000000
\x00\x00\x00\u0b00 #00000000 #00000000 #00000000 #00000b00
\x00\x00\x91\x00 #00000000 #00000000 #00000091 #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00휀\x00 #00000000 #00000000 #0000d700 #00000000
\x00\x00.\x00 #00000000 #00000000 #0000002e #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
Wꈀ\x00¢ #00000057 #0000a200 #00000000 #000000a2
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00\x00㈀\x00 #00000000 #00000000 #00003200 #00000000
`\x00\x7f\x00 #00000060 #00000000 #0000007f #00000000
\x00\x00i\x00 #00000000 #00000000 #00000069 #00000000
저\x00\x00\x00 #0000c800 #00000000 #00000000 #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
\x00w\x00\x00 #00000000 #00000077 #00000000 #00000000
\x00\x00\x003 #00000000 #00000000 #00000000 #00000033
\x00\x00<\x00 #00000000 #00000000 #0000003c #00000000
·¿j¢ #000000b7 #000000bf #0000006a #000000a2
\x00\x00걪\x00 #00000000 #00000000 #0000ac6a #00000000
저\x00\x00\x00 #0000c800 #00000000 #00000000 #00000000
\x00\x00\x00\x00 #00000000 #00000000 #00000000 #00000000
P\x00\x00\x00 #00000050 #00000000 #00000000 #00000000
