𣺍\U0003c5e7\ue0d8압𥲫\U0003b4da¼\U000140e0앰\U000140d9🯆\U0002fe84ٺ𧻃\U0001c574\U0002fb11 #00023e8d #0003c5e7 #0000e0d8 #0000c555 #00025cab #0003b4da #000000bc #000140e0 #0000c570 #000140d9 #0001fbc6 #0002fe84 #0000067a #00027ec3 #0001c574 #0002fb11
㻕\U0001b786𨔏𬖭�㹮\U00033e20𪖪𐰏\U0001a5c5𤁏こ\U00016a9d\U0002f78e𩳜𤲖 #00003ed5 #0001b786 #0002850f #0002c5ad #0000fffd #00003e6e #00033e20 #0002a5aa #00010c0f #0001a5c5 #0002404f #00003053 #00016a9d #0002f78e #00029cdc #00024c96
�𐀢𠆤\U00033e1b𘕡돓,ꖪ𭥩\uf74a\U0001424c𐋴\U00014b25艁\U00014a20ꔣ #0000fffd #00010022 #000201a4 #00033e1b #00018561 #0000b3d3 #0000002c #0000a5aa #0002d969 #0000f74a #0001424c #000102f4 #00014b25 #00008241 #00014a20 #0000a523
\U000343ba엡돉\ue072𝦬𝦥𠇽\U00014d0c\U00015c08𗢜𧱌\U0002f578𦺟\U0002f5b1𝧤糀 #000343ba #0000c5e1 #0000b3c9 #0000e072 #0001d9ac #0001d9a5 #000201fd #00014d0c #00015c08 #0001789c #00027c4c #0002f578 #00026e9f #0002f5b1 #0001d9e4 #00007cc0
\U0003d997蔺앆𤪭\U0001c590\ue0a5[𐙁©𪗁𪱏\U00014f84ﬥ\U0001a5b1鰧\U0003400a #0003d997 #0000853a #0000c546 #00024aad #0001c590 #0000e0a5 #0000005b #00010641 #000000a9 #0002a5c1 #0002ac4f #00014f84 #0000fb25 #0001a5b1 #00009c27 #0003400a
\x18\U00014abb𣸞𰁕\U00013efa앾𰁛𧱨𐀈𪕊𨉏\U0001a59bر𠙁𥰠\U0001a596 #00000018 #00014abb #00023e1e #00030055 #00013efa #0000c57e #0003005b #00027c68 #00010008 #0002a54a #0002824f #0001a59b #00000631 #00020641 #00025c20 #0001a596
Ë\U0003e0e7𫎞\U0001e072\U0001c59b\U000101bf𐂚簌𠀼𗡜\U0001e64f𭎿𣃐𰉻䩅\U0001c663 #000000cb #0003e0e7 #0002b39e #0001e072 #0001c59b #000101bf #0001009a #00007c0c #0002003c #0001785c #0001e64f #0002d3bf #000230d0 #0003027b #00004a45 #0001c663
౯ƻ𮃉\U0003b372𫐸𨕼\x80ف𫎩籊웆芈み𧺉𫓿𦩣 #00000c6f #000001bb #0002e0c9 #0003b372 #0002b438 #0002857c #00000080 #00000641 #0002b3a9 #00007c4a #0000c6c6 #00008288 #0000307f #00027e89 #0002b4ff #00026a63
𠁯\U00033ee1𰂞\U0003e01a𮂄𣹾㺜ム\U000385e4䉊𓀰𦫫𠘧𣃃𦡰𭏁 #0002006f #00033ee1 #0003009e #0003e01a #0002e084 #00023e7e #00003e9c #000030e0 #000385e4 #0000424a #00013030 #00026aeb #00020627 #000230c3 #00026870 #0002d3c1
𠆶\U0001b348𫌞\U00037680𠃸\U0003c57d\U00039c5b\U000382f8럤\U0003f54a𤀽𤊄䃑花𮀼\U0002f511 #000201b6 #0001b348 #0002b31e #00037680 #000200f8 #0003c57d #00039c5b #000382f8 #0000b7e4 #0003f54a #0002403d #00024284 #000040d1 #000082b1 #0002e03c #0002f511
𠀘\U0003c5bd𨡴𨕲댮Ú𧛪\U000330aa\U0003d954ي住𦪈\U0001dff3𧶪돘\U0002fbd9 #00020018 #0003c5bd #00028874 #00028572 #0000b32e #000000da #000276ea #000330aa #0003d954 #0000064a #00004f4f #00026a88 #0001dff3 #00027daa #0000b3d8 #0002fbd9
𐃫𨕒蔞�𐂇𭥼\U00013eef\U0002f5aa𬖔𠚜𗣆\U0003409b𦫈،\ue070𧢋 #000100eb #00028552 #0000851e #0000fffd #00010087 #0002d97c #00013eef #0002f5aa #0002c594 #0002069c #000178c6 #0003409b #00026ac8 #0000060c #0000e070 #0002788b
𥰋\U00013e92ǉ¢�앨\U0002b73f籁\ue025𠙊\U0002f53d鬹\U00037ece檶\U0001e054ؓ #00025c0b #00013e92 #000001c9 #000000a2 #0000fffd #0000c568 #0002b73f #00007c41 #0000e025 #0002064a #0002f53d #00009b39 #00037ece #00006ab6 #0001e054 #00000613
