䊗 #00004297
\U00039e3b #00039e3b
\U0003c21e #0003c21e
齯 #00009f6f
𤆺 #000241ba
\U0001b512 #0001b512
\U0003720c #0003720c
栏 #0000680f
𐼵 #00010f35
𦒽 #000264bd
𪈻 #0002a23b
\U0003372d #0003372d
䨮 #00004a2e
\uf844 #0000f844
\U00033987 #00033987
🟁 #0001f7c1
平 #00005e73
吸 #00005438
𡹸 #00021e78
𘰎 #00018c0e
\U0003fa05 #0003fa05
\U00033c54 #00033c54
𡜮 #0002172e
𤬮 #00024b2e
乶 #00004e76
\U00015b8c #00015b8c
𫇽 #0002b1fd
\U00012a2b #00012a2b
\U0003c0df #0003c0df
\U000140a3 #000140a3
\U0003a0e9 #0003a0e9
\U00033031 #00033031
𢕖 #00022556
\U0003cb5f #0003cb5f
歌 #00006b4c
𭮰 #0002dbb0
\U00036521 #00036521
㞷 #000037b7
𭜊 #0002d70a
\U00037147 #00037147
\U00014bf6 #00014bf6
\U0003685c #0003685c
덨 #0000b368
𫷷 #0002bdf7
𥁜 #0002505c
\U00037b54 #00037b54
𨋙 #000282d9
\U0001ed89 #0001ed89
\ued49 #0000ed49
薷 #000085b7
╋ #0000254b
\U00034b04 #00034b04
歇 #00006b47
\U0001a22f #0001a22f
ᣔ #000018d4
\U00014941 #00014941
𝢑 #0001d891
🭞 #0001fb5e
𛁕 #0001b055
\U00034298 #00034298
𭆎 #0002d18e
\ue22a #0000e22a
\U0003b8b6 #0003b8b6
𣤗 #00023917
衴 #00008874
\U000324de #000324de
\U0003bb7b #0003bb7b
\U00010dcf #00010dcf
𤏋 #000243cb
韌 #000097cc
\U0003c9d2 #0003c9d2
⏙ #000023d9
\U00036df7 #00036df7
消 #00006d88
\U0003ca5c #0003ca5c
𘚁 #00018681
\U00036879 #00036879
霸 #00009738
𤲝 #00024c9d
𰂪 #000300aa
𦋮 #000262ee
𡖓 #00021593
\U0001eab2 #0001eab2
塂 #00005842
\U0003df79 #0003df79
\U000353d4 #000353d4
䰓 #00004c13
𨀐 #00028010
\U00019dc8 #00019dc8
𖣀 #000168c0
\U00038b84 #00038b84
\U000159ea #000159ea
电 #00007535
𢒨 #000224a8
𦆼 #000261bc
膀 #00008180
抨 #000062a8
𘊐 #00018290
墥 #000058a5
䮵 #00004bb5
𣾮 #00023fae
\U000195c9 #000195c9
𩝴 #00029774
\uea8c #0000ea8c
ḣ #00001e23
\U00012d83 #00012d83
⳽ #00002cfd
\U00015699 #00015699
\U0003fe0d #0003fe0d
烛 #000070db
\U000316ea #000316ea
ꏼ #0000a3fc
𘌌 #0001830c
𬂇 #0002c087
ꬻ #0000ab3b
\U0003dc9b #0003dc9b
𞋸 #0001e2f8
\U0001abb1 #0001abb1
\U0003bf1b #0003bf1b
\U000351c7 #000351c7
\U0003c0f0 #0003c0f0
𩱎 #00029c4e
𑍍 #0001134d
𨀄 #00028004
𰢯 #000308af
\U0002f392 #0002f392
器 #00005668
𠞳 #000207b3
𦳨 #00026ce8
\U0003733b #0003733b
ꖻ #0000a5bb
벀 #0000bc80
ィ #000030a3
𓄇 #00013107
券 #00005238
𗒠 #000174a0
吋 #0000540b
\U0001e583 #0001e583
𪇸 #0002a1f8
𗒦 #000174a6
𡩮 #00021a6e
\U0003c87b #0003c87b
础 #00007840
𦆬 #000261ac
뮠 #0000bba0
\U0001aedf #0001aedf
\uea26 #0000ea26
\U00010cbf #00010cbf
犧 #000072a7
\U00038065 #00038065
ꦬ #0000a9ac
\U00035718 #00035718
𰜽 #0003073d
\U0003369a #0003369a
𬟨 #0002c7e8
𩢍 #0002988d
\U0001e5fc #0001e5fc
\U000328e7 #000328e7
㼶 #00003f36
瀢 #00007022
\U0003e59e #0003e59e
ÿ #000000ff
弱 #00005f31
⑫ #0000246b
🍩 #0001f369
𘇢 #000181e2
䣡 #000048e1
\U0002fb23 #0002fb23
\U000393aa #000393aa
輫 #00008f2b
鸯 #00009e2f
⣝ #000028dd
𰰿 #00030c3f
\U0003d362 #0003d362
𧪩 #00027aa9
𮋮 #0002e2ee
𩁈 #00029048
莓 #00008393
\U0001aedd #0001aedd
\U000398d7 #000398d7
\U0003804e #0003804e
\U000363c6 #000363c6
\U0003ce14 #0003ce14
ධ #00000db0
\U0001434e #0001434e
\U00038d78 #00038d78
𧱖 #00027c56
\U00019076 #00019076
쇿 #0000c1ff
\U0001945c #0001945c
𰊋 #0003028b
\U0001929c #0001929c
\U0003e8f3 #0003e8f3
𪹅 #0002ae45
웟 #0000c6df
\U00034160 #00034160
𮧃 #0002e9c3
𡢕 #00021895
∖ #00002216
\U000319df #000319df
𒒬 #000124ac
\U0001489b #0001489b
\U00032862 #00032862
\U00034bd7 #00034bd7
ᭇ #00001b47
\uf457 #0000f457
𡃾 #000210fe
𐩹 #00010a79
\u2453 #00002453
\U0001ba41 #0001ba41
𖢳 #000168b3
\U0001963d #0001963d
ⴺ #00002d3a
𫕙 #0002b559
\U0003f1ed #0003f1ed
㲪 #00003caa
\U000165eb #000165eb
𩁑 #00029051
\U000374b4 #000374b4
\uf89f #0000f89f
\U0001e585 #0001e585
\U000381d9 #000381d9
\U0003bca4 #0003bca4
\uf63b #0000f63b
必 #00005fc5
\U0001ae6a #0001ae6a
\U0001be4b #0001be4b
\U000392ba #000392ba
\U00038dc2 #00038dc2
𗖷 #000175b7
𤀀 #00024000
𣙡 #00023661
咣 #000054a3
뵩 #0000bd69
𨒻 #000284bb
歧 #00006b67
\U0003f88e #0003f88e
𠟦 #000207e6
\U0001c9c2 #0001c9c2
\U0003a18f #0003a18f
𪯙 #0002abd9
\ue300 #0000e300
𤑍 #0002444d
\U0003ab42 #0003ab42
𧗡 #000275e1
\U0003d898 #0003d898
\U00039536 #00039536
𬶤 #0002cda4
𞤐 #0001e910
皘 #00007698
𥀺 #0002503a
𧷈 #00027dc8
\U0003c61f #0003c61f
\U00032f67 #00032f67
\U00035820 #00035820
棵 #000068f5
\U00034328 #00034328
𘚅 #00018685
萉 #00008409
𢙋 #0002264b
𫠥 #0002b825
\U000154c0 #000154c0
쟠 #0000c7e0
\U000322cc #000322cc
\U0003ed27 #0003ed27
郧 #000090e7
触 #000089e6
\U00016d21 #00016d21
\U0003dac2 #0003dac2
𤀯 #0002402f
𠩇 #00020a47
𧶇 #00027d87
\U00036a8d #00036a8d
𤗀 #000245c0
\U0003ffae #0003ffae
\U0003eb7b #0003eb7b
🚬 #0001f6ac
בּ #0000fb31
渊 #00006e0a
눵 #0000b235
\U00014df1 #00014df1
\U00039bf0 #00039bf0
\U00034f73 #00034f73
\U0001ac29 #0001ac29
\U00011e1a #00011e1a
\U0003b0a6 #0003b0a6
𭬸 #0002db38
\U00019b5f #00019b5f
\U00013532 #00013532
\U00016e35 #00016e35
望 #0000671b
糶 #00007cf6
벐 #0000bc90
ᵅ #00001d45
𬈇 #0002c207
乘 #00004e58
철 #0000cca0
\U0003a15a #0003a15a
𨱋 #00028c4b
Ʊ #000001b1
\U0003791d #0003791d
踄 #00008e04
𦀼 #0002603c
鲍 #00009c8d
𬣎 #0002c8ce
᭐ #00001b50
\U0002fa84 #0002fa84
ꞑ #0000a791
\U000353d5 #000353d5
\U0001d3c0 #0001d3c0
𘍛 #0001835b
\U0003b9ec #0003b9ec
\U000127e5 #000127e5
𤸤 #00024e24
\U00019fac #00019fac
醏 #0000918f
搟 #0000641f
𧚍 #0002768d
𫞧 #0002b7a7
眹 #00007739
𫜗 #0002b717
𩖈 #00029588
𮤈 #0002e908
\U0002f70c #0002f70c
𩉫 #0002926b
\ue18c #0000e18c
\U00013530 #00013530
